objid,ra,dec,u,g,r,i,z,petroRad_r,petroR50_r,petroR90_r,deVAB_r,expAB_r,lnLDeV_r,lnLExp_r,lnLStar_r,fracDeV_r,redshift,zErr,velDisp,velDispErr,gz2_objid,gz2_ra,gz2_dec,total_votes_gz2,t01_smooth_or_features_a01_smooth_fraction,t01_smooth_or_features_a02_features_or_disk_fraction,t01_smooth_or_features_a03_star_or_artifact_fraction,t03_bar_a06_bar_fraction,t03_bar_a07_no_bar_fraction,t04_spiral_a08_spiral_fraction,t04_spiral_a09_no_spiral_fraction,morph_class
1237648722305220735,181.672980321661,0.698410410646141,19.5784,17.73265,16.80783,16.38387,16.05951,3.660541,1.521522,4.685929,0.5900003,0.5875921,-214.5891,-2059.891,-9710.874,1.0,0.08857077,2.053004e-05,170.2859,9.267307,588848900987158683,181.6729888916016,0.6984136700630188,145,0.8140000104904175,0.1400000005960464,0.0469999983906745,0.2000000029802322,0.800000011920929,0.2000000029802322,0.800000011920929,Elliptical
1237648722841436269,180.149102471614,1.20629659722686,18.60563,16.96035,16.13469,15.75626,15.44859,6.206605,2.826191,6.756015,0.4088913,0.4268091,-2911.978,-859.2045,-29733.4,0.2449093,0.04880829,1.747995e-05,99.87652,6.784017,588848901523374194,180.14910888671875,1.206299901008606,121,0.9760000109672546,0.0,0.0240000002086162,0.0,0.0,0.0,0.0,Elliptical
1237648722841567379,180.549584356987,1.16005238687237,19.00338,17.07707,16.17755,15.77007,15.44119,5.521309,2.391019,7.353034,0.5479273,0.553436,-77.01162,-2245.103,-20903.08,0.8864566,0.08476318,4.099712e-05,174.9188,16.30913,588848901523505308,180.54959106445312,1.1600559949874878,144,0.9319999814033508,0.0680000036954879,0.0,0.0,1.0,0.0,1.0,Elliptical
1237648722841829525,181.131787051897,1.12971637129535,19.12413,17.34538,16.49115,16.11584,15.84365,3.969979,1.75578,4.682903,0.510249,0.557196,-250.0207,-1533.99,-13989.97,0.8882788,0.0778308,1.838178e-05,125.3766,7.078053,588848901523767468,181.1317901611328,1.1297112703323364,148,0.890999972820282,0.1089999973773956,0.0,0.5,0.5,0.0,1.0,Elliptical
1237648722841895050,181.227686082576,1.23408278601321,18.6745,16.78882,15.82048,15.3617,14.99102,6.584548,2.810593,8.892129,0.8454581,0.8692977,-104.8711,-4764.626,-27265.93,1.0,0.07829467,2.72782e-05,262.9349,12.52736,588848901523832979,181.22769165039065,1.2340823411941528,124,0.8330000042915344,0.0480000004172325,0.1190000027418136,0.5,0.5,0.0,1.0,Elliptical
1237648722841960570,181.39721929726,1.07898272487791,19.11687,17.09272,16.11357,15.67134,15.34825,6.791277,2.824515,7.503516,0.6322405,0.6101162,-538.1368,-3087.952,-22026.02,0.8918124,0.07810145,2.330281e-05,171.2583,10.07041,588848901523898501,181.397216796875,1.0789836645126345,106,0.9089999794960022,0.090999998152256,0.0,0.0,1.0,0.0,1.0,Elliptical
1237648722841960606,181.44666213066,1.12718974530912,18.46404,16.50423,15.50529,15.08108,14.74053,9.138226,3.923581,12.83219,0.8737502,0.8557422,-240.5614,-8141.327,-37967.86,1.0,0.1129949,2.401614e-05,269.55,11.31675,588848901523898543,181.4466552734375,1.1271915435791016,134,0.9290000200271606,0.0710000023245811,0.0,0.0,1.0,0.0,1.0,Elliptical
1237650372092756108,180.543696594499,-1.38504580363113,19.00386,17.42984,16.64572,16.2368,15.95477,5.532397,2.504779,6.483369,0.6516881,0.6660439,-243.0426,-355.2565,-10320.88,0.5206496,0.09899558,2.014324e-05,121.612,11.16339,587724650867851406,180.543701171875,-1.3850504159927368,130,0.9520000219345092,0.0240000002086162,0.0240000002086162,0.0,1.0,0.0,1.0,Elliptical
1237648720156950762,179.963497350406,-0.858697172884088,18.0775,17.14544,16.85785,16.66489,16.5336,4.621808,2.189199,4.973871,0.5863792,0.5978625,-1993.136,-17.06233,-16848.6,0.0,0.03565402,6.324016e-06,39.81746,14.99788,588848898838888707,179.9635009765625,-0.8586918711662292,133,0.9769999980926514,0.0,0.0230000000447034,0.0,0.0,0.0,0.0,Elliptical
1237648721230364858,179.116469102641,-0.149325472991786,19.69543,17.65656,16.6272,16.18556,15.80273,4.433619,1.949066,6.062031,0.6191024,0.6354615,-21.06129,-1663.675,-13508.66,0.9951395,0.1066857,2.269535e-05,240.2936,9.84443,588848899912302762,179.11647033691406,-0.1493257135152816,135,0.8569999933242798,0.0949999988079071,0.0480000004172325,0.0,1.0,0.0,1.0,Elliptical
1237648721230430324,179.236127565259,-0.0867852531458146,19.95908,17.95473,16.90474,16.4585,16.08959,4.995546,2.074427,6.209518,0.9277191,0.9414991,-50.64605,-1584.54,-9071.162,1.0,0.1289537,2.314937e-05,149.0867,9.08706,588848899912368274,179.2361297607422,-0.0867794528603553,144,0.8600000143051147,0.1159999966621398,0.0230000000447034,0.0,1.0,0.0,1.0,Elliptical
1237648721230495913,179.417049789717,-0.0172726710772197,20.22606,17.99727,16.73754,16.25764,15.90898,7.919744,3.162691,9.299617,0.9033281,0.8837539,-209.2552,-2402.949,-10400.46,1.0,0.1689182,3.217127e-05,275.9888,13.12225,588848899912433826,179.41705322265625,-0.0172801204025745,141,0.8669999837875366,0.0439999997615814,0.0890000015497207,0.0,1.0,0.0,1.0,Elliptical
1237648721230495965,179.447109637116,-0.185315357510524,18.88056,17.53646,16.80132,16.42698,16.14111,7.050376,3.439538,6.926243,0.9242102,0.9201747,-1878.604,-234.9339,-14192.05,0.0,0.1260444,1.430699e-05,89.31511,10.79665,588848899912433866,179.44711303710938,-0.1853197067975998,240,0.061999998986721,0.906000018119812,0.0309999994933605,0.0359999984502792,0.9639999866485596,1.0,0.0,Spiral
1237650371555623026,179.875040666231,-1.84909184257628,18.30811,17.27847,16.88896,16.69743,16.50977,3.659712,1.583895,4.218009,0.6756812,0.6729727,-64.15556,-784.619,-9008.942,0.8715298,0.02099169,6.898925e-06,82.16524,12.97878,587724650330718278,179.8750457763672,-1.8490910530090328,130,0.8859999775886536,0.0230000000447034,0.090999998152256,0.0,1.0,0.0,1.0,Elliptical
1237650372092428359,179.733480997074,-1.43042392471121,18.22375,16.90561,16.28694,15.92177,15.67455,3.403153,1.620841,4.024087,0.6674126,0.6840167,-943.7914,-536.5948,-21834.33,0.5469365,0.05204817,5.16903e-06,88.53321,6.815039,587724650867523655,179.7334747314453,-1.4304286241531372,134,0.8889999985694885,0.0219999998807907,0.0890000015497207,0.0,1.0,1.0,0.0,Elliptical
1237650372092428495,179.759170744331,-1.31307863448772,18.50917,16.48411,15.54399,15.09459,14.72543,8.367994,3.756155,11.75539,0.6667749,0.664575,-134.8399,-3766.744,-33630.68,0.8493525,0.08118095,2.074948e-05,192.8123,9.096233,587724650867523794,179.75917053222656,-1.3130791187286377,122,0.8650000095367432,0.1080000028014183,0.0270000007003545,0.0,1.0,0.0,1.0,Elliptical
1237650372092493959,179.80850466802,-1.29867597813914,19.37717,17.57997,16.66917,16.21968,15.87863,4.916855,2.137231,6.681776,0.7020562,0.7374995,-77.69266,-1916.441,-9891.139,1.0,0.08216152,2.466141e-05,159.2177,9.389253,587724650867589261,179.80850219726562,-1.298677921295166,139,0.953000009059906,0.0469999983906745,0.0,0.0,1.0,0.0,1.0,Elliptical
